id,topic,difficulty,pdf_path,test_case_1,test_case_2,test_case_3,,,,,
497,Recursion,Medium,challenges/crossword-puzzle/crossword-puzzle.pdf,challenges/crossword-puzzle/input/input00.txt : challenges/crossword-puzzle/output/output00.txt , challenges/crossword-puzzle/input/input01.txt : challenges/crossword-puzzle/output/output01.txt , challenges/crossword-puzzle/input/input07.txt : challenges/crossword-puzzle/output/output07.txt,,,,,
498,Recursion,Medium,challenges/recursive-digit-sum/recursive-digit-sum.pdf,challenges/recursive-digit-sum/input/input00.txt : challenges/recursive-digit-sum/output/output00.txt , challenges/recursive-digit-sum/input/input10.txt : challenges/recursive-digit-sum/output/output10.txt , challenges/recursive-digit-sum/input/input11.txt : challenges/recursive-digit-sum/output/output11.txt,,,,,
499,Recursion,Medium,challenges/simplified-chess-engine/simplified-chess-engine.pdf,challenges/simplified-chess-engine/input/input00.txt : challenges/simplified-chess-engine/output/output00.txt,,,,,,,
500,Recursion,Medium,challenges/password-cracker/password-cracker.pdf,challenges/password-cracker/input/input00.txt : challenges/password-cracker/output/output00.txt , challenges/password-cracker/input/input01.txt : challenges/password-cracker/output/output01.txt,,,,,,
501,Recursion,Hard,challenges/arithmetic-expressions/arithmetic-expressions.pdf,challenges/arithmetic-expressions/input/input00.txt : challenges/arithmetic-expressions/output/output00.txt , challenges/arithmetic-expressions/input/input01.txt : challenges/arithmetic-expressions/output/output01.txt,,,,,,
502,Recursion,Medium,challenges/stone-division-2/stone-division-2.pdf,challenges/stone-division-2/input/input00.txt : challenges/stone-division-2/output/output00.txt,,,,,,,
503,Recursion,Hard,challenges/k-factorization/k-factorization.pdf,challenges/k-factorization/input/input00.txt : challenges/k-factorization/output/output00.txt , challenges/k-factorization/input/input01.txt : challenges/k-factorization/output/output01.txt , challenges/k-factorization/input/input02.txt : challenges/k-factorization/output/output02.txt,,,,,
504,Recursion,Hard,challenges/bowling-pins/bowling-pins.pdf,challenges/bowling-pins/input/input00.txt : challenges/bowling-pins/output/output00.txt,,,,,,,
505,Recursion,Hard,challenges/simplified-chess-engine-ii/simplified-chess-engine-ii.pdf,challenges/simplified-chess-engine-ii/input/input00.txt : challenges/simplified-chess-engine-ii/output/output00.txt,,,,,,,
506,Recursion,Advanced,challenges/repeat-k-sums/repeat-k-sums.pdf,challenges/repeat-k-sums/input/input00.txt : challenges/repeat-k-sums/output/output00.txt,,,,,,,
507,Game Theory,Easy,challenges/tower-breakers-1/tower-breakers-1.pdf,challenges/tower-breakers-1/input/input00.txt : challenges/tower-breakers-1/output/output00.txt , challenges/tower-breakers-1/input/input11.txt : challenges/tower-breakers-1/output/output11.txt,,,,,,
508,Game Theory,Easy,challenges/a-chessboard-game-1/a-chessboard-game-1.pdf,challenges/a-chessboard-game-1/input/input00.txt : challenges/a-chessboard-game-1/output/output00.txt , challenges/a-chessboard-game-1/input/input02.txt : challenges/a-chessboard-game-1/output/output02.txt,,,,,,
509,Game Theory,Easy,challenges/nim-game-1/nim-game-1.pdf,challenges/nim-game-1/input/input00.txt : challenges/nim-game-1/output/output00.txt , challenges/nim-game-1/input/input05.txt : challenges/nim-game-1/output/output05.txt,,,,,,
510,Game Theory,Easy,challenges/misere-nim-1/misere-nim-1.pdf,challenges/misere-nim-1/input/input00.txt : challenges/misere-nim-1/output/output00.txt,,,,,,,
511,Game Theory,Medium,challenges/alice-and-bobs-silly-game/alice-and-bobs-silly-game.pdf,challenges/alice-and-bobs-silly-game/input/input00.txt : challenges/alice-and-bobs-silly-game/output/output00.txt,,,,,,,
512,Game Theory,Medium,challenges/zero-move-nim/zero-move-nim.pdf,challenges/zero-move-nim/input/input00.txt : challenges/zero-move-nim/output/output00.txt,,,,,,,
513,Game Theory,Hard,challenges/stone-division/stone-division.pdf,challenges/stone-division/input/input00.txt : challenges/stone-division/output/output00.txt,,,,,,,
514,Game Theory,Medium,challenges/chocolate-in-box/chocolate-in-box.pdf,challenges/chocolate-in-box/input/input00.txt : challenges/chocolate-in-box/output/output00.txt,,,,,,,
515,Game Theory,Medium,challenges/kitty-and-katty/kitty-and-katty.pdf,challenges/kitty-and-katty/input/input00.txt : challenges/kitty-and-katty/output/output00.txt,,,,,,,
516,Game Theory,Medium,challenges/bob-and-ben/bob-and-ben.pdf,challenges/bob-and-ben/input/input00.txt : challenges/bob-and-ben/output/output00.txt,,,,,,,
517,Game Theory,Hard,challenges/simple-game/simple-game.pdf,challenges/simple-game/input/input00.txt : challenges/simple-game/output/output00.txt,,,,,,,
518,Game Theory,Medium,challenges/permutation-game/permutation-game.pdf,challenges/permutation-game/input/input00.txt : challenges/permutation-game/output/output00.txt,,,,,,,
519,Game Theory,Medium,challenges/benders-play/benders-play.pdf,challenges/benders-play/input/input00.txt : challenges/benders-play/output/output00.txt,,,,,,,
520,Game Theory,Medium,challenges/newyear-game/newyear-game.pdf,challenges/newyear-game/input/input00.txt : challenges/newyear-game/output/output00.txt,,,,,,,
521,Game Theory,Hard,challenges/stone-piles/stone-piles.pdf,challenges/stone-piles/input/input00.txt : challenges/stone-piles/output/output00.txt,,,,,,,
522,Game Theory,Hard,challenges/chocolate-game/chocolate-game.pdf,challenges/chocolate-game/input/input00.txt : challenges/chocolate-game/output/output00.txt,,,,,,,
523,Game Theory,Hard,challenges/the-prime-game/the-prime-game.pdf,challenges/the-prime-game/input/input00.txt : challenges/the-prime-game/output/output00.txt,,,,,,,
524,Game Theory,Medium,challenges/vertical-rooks/vertical-rooks.pdf,challenges/vertical-rooks/input/input14.txt : challenges/vertical-rooks/output/output14.txt , challenges/vertical-rooks/input/input15.txt : challenges/vertical-rooks/output/output15.txt,,,,,,
525,Game Theory,Medium,challenges/half/half.pdf,challenges/half/input/input00.txt : challenges/half/output/output00.txt , challenges/half/input/input11.txt : challenges/half/output/output11.txt,,,,,,
526,Game Theory,Expert,challenges/taste-of-win/taste-of-win.pdf,challenges/taste-of-win/input/input00.txt : challenges/taste-of-win/output/output00.txt,,,,,,,
527,NP Complete,Hard,challenges/walking-the-approximate-longest-path/walking-the-approximate-longest-path.pdf,challenges/walking-the-approximate-longest-path/input/input00.txt : challenges/walking-the-approximate-longest-path/output/output00.txt,,,,,,,
528,NP Complete,Advanced,challenges/sams-puzzle/sams-puzzle.pdf,challenges/sams-puzzle/input/input00.txt : challenges/sams-puzzle/output/output00.txt,,,,,,,
529,NP Complete,Expert,challenges/tbsp/tbsp.pdf,challenges/tbsp/input/input01.txt : challenges/tbsp/output/output01.txt , challenges/tbsp/input/input03.txt : challenges/tbsp/output/output03.txt , challenges/tbsp/input/input04.txt : challenges/tbsp/output/output04.txt , challenges/tbsp/input/input05.txt : challenges/tbsp/output/output05.txt , challenges/tbsp/input/input06.txt : challenges/tbsp/output/output06.txt,,,
530,Debugging,Medium,challenges/prime-date/prime-date.pdf,challenges/prime-date/input/input00.txt : challenges/prime-date/output/output00.txt,,,,,,,
531,Debugging,Medium,challenges/zig-zag-sequence/zig-zag-sequence.pdf,challenges/zig-zag-sequence/input/input00.txt : challenges/zig-zag-sequence/output/output00.txt,,,,,,,
